ID ,Text,Sentiment_text,Sentiment_label
1,ខ្ញុំចូលចិត្តវា,Positive ,1
2,ផលិតផលនេះគុណភាពល្អ,Positive ,1
3,ប្រើប្រាស់មិនបានយូ ហើយថ្លៃទៀត,Negative,0
4,នៅតែពេញនិយមស្តាប់មិនធុញ,Positive ,1
5,ខ្ញុំអត់ចូលចិត្តត្រង់ កាមេរ៉ា មហាអន់ និយាយមែន,Negative,0
6,ខ្ញុំអត់ពេញចិត្តរូប១សន្លឹកដែលថតនោះ,Negative,0
7,ផលិតបានល្អខ្លាំងណាស់,Positive ,1
8,ខ្ញុំស្ដាប់10ដងហើយនៅតែពិរស់,Positive ,1
9,អ្នកបើកបរមានសុជីវធម៍ល្អ លើកក្រោយចង់ជិះជាមួយគាត់ទៀត,Positive ,1
10,សូមខំមិនរឿងអ្នកបើកបរម្សិលមិញពីសៀមរាបមកភ្នំពេញម៉ោង3កន្លះរសៀលអ្នកបើកបរលឿនហួសហេតុឈ្លើយឈប់ចូលបត់ជើង ម៉ាននាទីហូបបាយម៉ាននាទីក៏មិនប្រាប់បើកលឿនខ្លាំងដល់ថ្នាក់ខ្ញុំអង្គុយនៅខាងមុខចង់ក្អួតម៉ានដង,Negative,0
11,ល្អតែម្ដងគុណភាពរបស់គេ,Positive,1
12,រឿងហ្នឹងល្អមើល,Positive,1
13,ល្អមើលមែន Rate អោយ 9/10 តែអត់យល់ហេតុអីបានគេយំ? ខ្ញុំមើលអត់យំផង,Positive,1
14,Rate8.5/10 ល្អមើល តែអត់យល់មិចបានគេយំ តែបើសិនជាយករឿងញុមមកសម្ដែងប្រហែលយំខ្លាំងជាងនឹងទៅទៀត,Positive,1
15,មើលហើយៗ. អត់យំអីផង. តែល្អមើលគួរសម តួស្អាតៗ,Positive,1
16,រឿងនឹងវគ្គ1មើលស្តាយលុយណាស់ ចឹងអត់មើលទៀតទេ4/10,Negative,0
17,ពិរោះណាស់ សូមអគុណ ដល់លោក ដែលបានខំស្រាវជ្រាវរក្សាទុក,Positive ,1
18,ពិរោះណាស់ខ្ញុំចូលចិត្តស្តាប់បទពីដើម,Positive ,1
19,ស្តាប់នៅតែពិរោះមិនសាបសូន្យ,Positive ,1
20,មាននាក់ស្តាប់តើ,Positive ,1
21,ចូលចិត្ត,Positive ,1
22,គ្រាប់ពេជ្រនៅតែគ្រាប់ពេជ្រ,Positive ,1
23,ទាល់តែឧកញ៉ាធ្លាក់ខ្លួនបែបនេះ ទើបម្នាក់ៗពេញចិត្ត,Negative ,0
24,ខានលឺយូហើយអាយដល,Positive ,1
25,បងធំ មន្ត មកវិញហេីយ,Positive ,1
26,រង់ចាំយូរហេីយ​ អាយដល,Positive ,1
27,អានេះមើងាយគេសាហាវ,Negative ,0
28,ថាគេតាមដានវាតែដឹងពីគេគ្រប់រឿងម៉ង ម៉ាអាឈ្មោល,Negative ,0
29,អាប្អូននឹងវាថ្លើបធំហើយបានមកចង់លេងមួយបង,Negative ,0
30,ស្ដាយហា៎អត់បានទៅមើល,Negative ,0
31,បទអីនិងដឹងប្រាប់ផង,Negative ,0
32,បានត្រឹមមើលតាមឡាយ,Negative ,0
33,ញុមមើលឡាយខ្ចីលទៅរងាពេក,Positive ,1
34,ឈឺហើយអត់បានទៅមើលផ្ទាល់,Negative ,0
35,រវល់ខួបកំណើតកូនអត់បានទៅស្ដាយណាស់,Negative ,0
36,ស្តាយអត់ទៅមើលផ្ទាល់,Negative ,0
37,បទខ្មែរមិចក៏មិនច្រៀង,Negative ,0
38,អ្នកធ្វើគេខំណាស់ ណាស់តែពួកទើសទេ ទើសគ្រប់កន្លែងរកកន្លែងទើសគ្រប់ យ៉ាង,Negative ,0
39,អរគុណបងដែលបានបកស្រាយកុំអេាយមានមហាជនមួួយចំនួនយល់ថាលួចបទគេ ចំលងគេ,Positive ,1
40,ម៉េចក៏ចូលចិត្តចម្លងតែពី គេ,Negative ,0
41,បើចង់ផ្សព្វផ្សាយអោយម្ចាស់ដើមច្រៀងល្អជាង ព្រោះមុនហ្នឹងល្បីរួចទៅហើយ តែពេលដូរអ្នកចម្រៀងចឹង ល្បីថែមទៀតតែគេរិះគន់វិញ,Negative ,0
42,ថតបានស្អាតចម្រៀងពិរោះប៉ុន្តែយ៉ាប់ត្រង់មានឡាបូបូធ្វើឲ្យទាញតម្លៃបទចម្រៀងធ្លាក់ចុះ,Positive ,1
43,ស្ដាប់មិនចូលទេ,Negative ,0
44,តែអ្នកកូពីដូចឆ្កួតទាំងmcទាំងអ្នកច្រៀង,Negative ,0
45,មើលទឹកមុខដូចបង្ខំអោយនិយាយ,Negative ,0
46,បើចេះស្ទើធ្វើភ្លើល្អជាង(សុភាសិតខ្មែរ),Negative ,0
47,មិនបាច់ចេញទេ,Negative ,0
48,លុបណាវ៉ាតត្រាចេញទៅបង,Negative ,0
49,សួរថាចត់បាយអត់?,Negative ,0
50,បទសែកមន្តហ្នឹងអ្នកណាជាអ្នកនិពន្ធ? ហើយប្រកាសថាខ្លួនឯងជាម្ចាស់កម្មសិទ្ធថែមទៀតផង ប្រាកដអត់លោក?,Negative ,0
51,និពន្ធដូចខ្មោច,Negative ,0
52,អគុណបងដែលបានបកស្រាយ,Positive ,1
53,ងាប់នឹងគេបង្វែររឿងនឹងទៅខ្មែរ,Negative ,0
54,ពិតជាមានន័យណាស់បង,Positive ,1
55,​វា​ហាក់​ដូចជា​ហត់នឿយ​ពេក​ហើយ,Negative,0
56,គ្មាន​ការលើក​ទឹក​ចិត្ត​បាន​ត្រឹម​តែ​ ពាក្យ​ធ្វើ​ឲ្យ​បាក់​ទឹក​ចិត្ត,Negative,0
57,ខ្ញុំចង់និយាយថាខ្ញុំស្រឡាញ់បទមួយនេះ,Positive ,1
58,គ្រប់បទរបស់គាត់មានពាក្យចុងជួនល្អណាស់ហើយមានអត្ថន័យទៀត,Positive ,1
59,គ្រាន់ថាគេល្អជាងបងហ៎? ម៉េចបានទឹកភ្នែកដោយសារគេបែបនឹង,Negative,0
60,គេនោះល្អជាងបងឆ្ងាយណាស់,Negative,0
61,សង្សារទុំសុំបែកហើយស្តាប់បត់និង,Negative,0
62,អារម្មណ៍ពេលមានមនុស្សទី3,Negative,0
63,សុំកុំទុកខ្ញុំជាមនុស្សទីបី,Negative,0
64,មនុស្សសម័យនេះប្រែប្រួលអស់ហើយ ព្រមទាំងមនុស្សខ្ញុំស្រលាញ់,Negative,0
65,គ្រាំទ្រអោយពួកប្អូនរៀនហាត់បន្ថែម,Positive ,1
66,ហេតុអ្វីក៏អូនលួចអ្នកថ្មី,Negative,0
67,ខ្ញុំអ្នកកម្ពុជាក្រោមជំរាបសួរបងប្អូនខ្មែរយើងទាំងអស់គ្នាបាទ!សូមជួបតែសំណាងល្អទាំងអស់គ្នា,Positive ,1
68,ខ្មែរយើងត្រូវតែខ្លាំងកុំអោយអ្នកជិតខាងយើងគេមើលងាយយើង,Positive ,1
69,ក្មេងជំនាន់ក្រោយសម្ថភាពកាន់តែខ្លាំងហើយ,Positive ,1
70,បទស្អីចឹងស្មានតែឡូយណាស់មែន,Negative,0
71,ខ្ញុំចូរចិត្តពីនឹងណាស់,Positive ,1
72,ខ្ញុំស្ដាប់មិនចេះធុញទេ,Positive ,1
73,ស្ដាប់ហើយមានអារម្មណ៍ស្រស់ស្រាយ,Positive ,1
74,ស្ដាប់បទនឹងហើយមានអារម្ភល្អម៉ង,Positive ,1
75,ស្តាប់ហើយរំភើបចង់មានស្នេហ៍កាន់ដៃគ្នារហូតតទៅ,Positive ,1
76,ការទិញនៅលើគេហទំព័រយ៉ាងងាយស្រួល។,Positive,1
77,ខ្ញុំមិនពេញចិត្តជាមួយបទចម្រៀងនេះ។,Negative,0
78,បរិយាកាសនៅហាងនេះមិនល្អ។,Negative,0
79,រឿងថ្មីនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative,0
80,ខ្ញុំចូលចិត្តម៉ាកនេះជាពិសេស។,Positive,1
81,ខ្ញុំបានទទួលទំនិញយ៉ាងឆាប់រហ័ស។,Positive,1
82,ការបម្រើអតិថិជននៅទីនេះគឺល្អឥតខ្ចោះ។,Positive,1
83,បទថ្មីនេះមិនទាក់ចិត្ត។,Negative,0
84,ការសម្តែងរបស់តារាសម្តែងគ្មានគុណភាព។,Negative,0
85,បទចម្រៀងនេះប៉ះដល់ចិត្តយ៉ាងខ្លាំង។,Positive,1
86,ខ្ញុំមានបទពិសោធន៍អាក្រក់ជាមួយសេវាកម្មនេះ។,Negative,0
87,ខ្ញុំមានបទពិសោធន៍ល្អជាមួយសេវាកម្មនេះ។,Positive,1
88,ខ្ញុំពិតជាផ្អែមល្ហែមជាមួយបទចម្រៀងថ្មីនេះ។,Positive,1
89,សេវាកម្មយ៉ាងល្អប្រសើរ។,Positive,1
90,សេវាកម្មមិនទាន់បំពេញតាមចិត្តទេ។,Negative,0
91,ខ្ញុំពិតជាផ្អែមល្ហែមជាមួយបទចម្រៀងថ្មីនេះ។,Positive,1
92,ខ្ញុំពិតជាផ្អែមល្ហែមជាមួយបទចម្រៀងថ្មីនេះ។,Positive,1
93,រឿងថ្មីនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative,0
94,បទថ្មីនេះមិនទាក់ចិត្ត។,Negative,0
95,ការទិញនៅលើគេហទំព័រយ៉ាងងាយស្រួល។,Positive,1
96,សេវាកម្មយ៉ាងល្អប្រសើរ។,Positive,1
97,ខ្ញុំពិតជាផ្អែមល្ហែមជាមួយបទចម្រៀងថ្មីនេះ។,Positive,1
98,ការសម្តែងនៅលើឆាកមិនអាចទាញយកភ្នែកចេញបាន។,Positive,1
99,សេវាកម្មនេះធ្វើឱ្យខ្ញុំមានអារម្មណ៍ពេញចិត្ត។,Positive,1
100,សេវាកម្មយ៉ាងល្អប្រសើរ។,Positive,1
101,ការបម្រើអតិថិជនយឺតខ្លាំង។,Negative,0
102,ការទិញនៅលើគេហទំព័រមិនងាយស្រួល។,Negative,0
103,ការបម្រើអតិថិជននៅទីនេះគឺល្អឥតខ្ចោះ។,Positive,1
104,ការចាក់សម្លេងមានគុណភាពខ្ពស់។,Positive,1
105,ការសម្តែងនៅលើឆាកមិនអាចទាញយកភ្នែកចេញបាន។,Positive,1
106,ការទិញនៅលើគេហទំព័រមិនងាយស្រួល។,Negative,0
107,សេវាកម្មនេះធ្វើឱ្យខ្ញុំមានអារម្មណ៍ពេញចិត្ត។,Positive,1
108,ការទិញនៅលើគេហទំព័រមិនងាយស្រួល។,Negative,0
109,ការសម្តែងនៅលើឆាកមិនអាចទាញយកភ្នែកចេញបាន។,Positive,1
110,សេវាកម្មយ៉ាងល្អប្រសើរ។,Positive,1
111,សេវាកម្មនេះធ្វើឱ្យខ្ញុំមានអារម្មណ៍ពេញចិត្ត។,Positive,1
112,ភាពយន្តនេះធុញទ្រាន់។,Negative,0
113,ភាពយន្តនេះធុញទ្រាន់។,Negative,0
114,ការបម្រើអតិថិជនយឺតខ្លាំង។,Negative,0
115,បរិយាកាសនៅហាងនេះមិនល្អ។,Negative,0
116,សេវាកម្មយ៉ាងល្អប្រសើរ។,Positive,1
117,ការចាក់សម្លេងមានគុណភាពខ្ពស់។,Positive,1
118,គុណភាពទំនិញល្អណាស់។,Positive,1
119,ការចាក់សម្លេងមានបញ្ហា។,Negative,0
120,សេវាកម្មមិនទាន់បំពេញតាមចិត្តទេ។,Negative,0
121,សេវាកម្មនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative,0
122,ខ្ញុំចូលចិត្តម៉ាកនេះជាពិសេស។,Positive,1
123,ការចាក់សម្លេងមានបញ្ហា។,Negative,0
124,សេវាកម្មមិនទាន់បំពេញតាមចិត្តទេ។,Negative,0
125,បទចម្រៀងនេះឆ្លៀតចិត្ត។,Positive,1
126,សេវាកម្មមិនទាន់បំពេញតាមចិត្តទេ។,Negative,0
127,ភាពយន្តនេះធុញទ្រាន់។,Negative,0
128,បទចម្រៀងនេះមិនមានអារម្មណ៍។,Negative,0
129,សេវាកម្មមិនទាន់បំពេញតាមចិត្តទេ។,Negative,0
130,ខ្ញុំមិនបានទទួលទំនិញតាមពេលកំណត់។,Negative,0
131,ការដឹកជញ្ជូនយឺត។,Negative,0
132,រឿងថ្មីនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative,0
133,ផលិតផលនេះគុណភាពល្អណាស់។,Positive,1
134,គុណភាពទំនិញល្អណាស់។,Positive,1
135,ការដឹកជញ្ជូនយឺត។,Negative,0
136,ភាពយន្តនេះធុញទ្រាន់។,Negative,0
137,គុណភាពទំនិញមិនគួរជឿ។,Negative,0
138,រឿងថ្មីនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative,0
139,បទថ្មីនេះមិនទាក់ចិត្ត។,Negative,0
140,ការដឹកជញ្ជូនលឿនល្អឥតខ្ចោះ។,Positive,1
141,ខ្ញុំបានទទួលទំនិញយ៉ាងឆាប់រហ័ស។,Positive,1
142,ខ្ញុំមិនបានទទួលទំនិញតាមពេលកំណត់។,Negative,0
143,រឿងថ្មីនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative,0
144,រឿងថ្មីនេះល្អឥតខ្ចោះ។,Positive,1
145,ការទិញនៅលើគេហទំព័រមិនងាយស្រួល។,Negative,0
146,ការសម្តែងរបស់តារាសម្តែងគួរឱ្យសរសើរ។,Positive,1
147,ខ្ញុំមិនបានទទួលទំនិញតាមពេលកំណត់។,Negative,0
148,ការចាក់សម្លេងមានបញ្ហា។,Negative,0
149,រឿងថ្មីនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative,0
150,ការចាក់សម្លេងមានបញ្ហា។,Negative,0
151,រឿងថ្មីនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative,0
152,ការសម្តែងនៅលើឆាកធុញទ្រាន់។,Negative,0
153,បទចម្រៀងនេះមិនមានអារម្មណ៍។,Negative,0
154,ខ្ញុំបានទទួលទំនិញយ៉ាងឆាប់រហ័ស។,Positive,1
155,សេវាកម្មនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative,0
156,សេវាកម្មយ៉ាងល្អប្រសើរ។,Positive,1
157,រឿងថ្មីនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative,0
158,ខ្ញុំមានបទពិសោធន៍ល្អជាមួយសេវាកម្មនេះ។,Positive,1
159,ភាពយន្តនេះល្អលើសការរំពឹងទុក។,Positive,1
160,ខ្ញុំបានទទួលទំនិញយ៉ាងឆាប់រហ័ស។,Positive,1
161,បទចម្រៀងនេះឆ្លៀតចិត្ត។,Positive,1
162,សេវាកម្មយ៉ាងល្អប្រសើរ។,Positive,1
163,បទចម្រៀងនេះប៉ះដល់ចិត្តយ៉ាងខ្លាំង។,Positive,1
164,រឿងថ្មីនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative,0
165,ការបម្រើអតិថិជនយឺតខ្លាំង។,Negative,0
166,ការបម្រើអតិថិជននៅទីនេះគឺល្អឥតខ្ចោះ។,Positive,1
167,គុណភាពទំនិញល្អណាស់។,Positive,1
168,ខ្ញុំមិនពេញចិត្តជាមួយបទចម្រៀងនេះ។,Negative,0
169,បទចម្រៀងនេះឆ្លៀតចិត្ត។,Positive,1
170,សេវាកម្មនេះធ្វើឱ្យខ្ញុំមានអារម្មណ៍ពេញចិត្ត។,Positive,1
171,ខ្ញុំមានបទពិសោធន៍អាក្រក់ជាមួយសេវាកម្មនេះ។,Negative,0
172,ភាពយន្តនេះល្អលើសការរំពឹងទុក។,Positive,1
173,ខ្ញុំមានបទពិសោធន៍ល្អជាមួយសេវាកម្មនេះ។,Positive,1
174,រឿងថ្មីនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative,0
175,ការដឹកជញ្ជូនយឺត។,Negative,0
176,បទចម្រៀងនេះប៉ះដល់ចិត្តយ៉ាងខ្លាំង។,Positive,1
177,ការសម្តែងរបស់តារាសម្តែងគួរឱ្យសរសើរ។,Positive,1
178,ការសម្តែងនៅលើឆាកធុញទ្រាន់។,Negative,0
179,ការទិញនៅលើគេហទំព័រយ៉ាងងាយស្រួល។,Positive,1
180,ការទិញនៅលើគេហទំព័រយ៉ាងងាយស្រួល។,Positive,1
181,ភាពយន្តនេះធុញទ្រាន់។,Negative,0
182,ភាពយន្តនេះធុញទ្រាន់។,Negative,0
183,សេវាកម្មនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative,0
184,បទចម្រៀងនេះប៉ះដល់ចិត្តយ៉ាងខ្លាំង។,Positive,1
185,ខ្ញុំមិនពេញចិត្តជាមួយបទចម្រៀងនេះ។,Negative,0
186,សេវាកម្មយ៉ាងល្អប្រសើរ។,Positive,1
187,បទចម្រៀងនេះមិនល្អ។,Negative,0
188,បទចម្រៀងនេះប៉ះដល់ចិត្តយ៉ាងខ្លាំង។,Positive,1
189,ខ្ញុំមិនបានទទួលទំនិញតាមពេលកំណត់។,Negative,0
190,ការបម្រើអតិថិជនយឺតខ្លាំង។,Negative,0
191,រឿងថ្មីនេះល្អឥតខ្ចោះ។,Positive,1
192,ខ្ញុំមានបទពិសោធន៍អាក្រក់ជាមួយសេវាកម្មនេះ។,Negative,0
193,ការទិញនៅលើគេហទំព័រយ៉ាងងាយស្រួល។,Positive,1
194,ខ្ញុំមានបទពិសោធន៍អាក្រក់ជាមួយសេវាកម្មនេះ។,Negative,0
195,ភាពយន្តនេះល្អលើសការរំពឹងទុក។,Positive,1
196,បរិយាកាសនៅហាងនេះល្អឥតខ្ចោះ។,Positive,1
197,ការសម្តែងនៅលើឆាកមិនអាចទាញយកភ្នែកចេញបាន។,Positive,1
198,បទថ្មីនេះមិនទាក់ចិត្ត។,Negative,0
199,បទចម្រៀងនេះមិនល្អ។,Negative,0
200,ភាពយន្តនេះធុញទ្រាន់។,Negative,0
201,ផលិតផលនេះគុណភាពទាប។,Negative,0
202,សេវាកម្មនេះធ្វើឱ្យខ្ញុំមានអារម្មណ៍ពេញចិត្ត។,Positive,1
203,ការដឹកជញ្ជូនយឺត។,Negative,0
204,បទថ្មីនេះមានទាស់។,Positive,1
205,ការសម្តែងរបស់តារាសម្តែងគ្មានគុណភាព។,Negative,0
206,ការដឹកជញ្ជូនយឺត។,Negative,0
207,ការសម្តែងនៅលើឆាកធុញទ្រាន់។,Negative,0
208,គុណភាពទំនិញល្អណាស់។,Positive,1
209,ការទិញនៅលើគេហទំព័រយ៉ាងងាយស្រួល។,Positive,1
210,បទថ្មីនេះមានទាស់។,Positive,1
211,ភាពយន្តនេះធុញទ្រាន់។,Negative,0
212,បទចម្រៀងនេះមិនល្អ។,Negative,0
213,ការបម្រើអតិថិជននៅទីនេះគឺល្អឥតខ្ចោះ។,Positive,1
214,បទចម្រៀងនេះឆ្លៀតចិត្ត។,Positive,1
215,ខ្ញុំមានបទពិសោធន៍អាក្រក់ជាមួយសេវាកម្មនេះ។,Negative,0
216,ខ្ញុំមិនពេញចិត្តជាមួយបទចម្រៀងនេះ។,Negative,0
217,បទចម្រៀងនេះមិនមានអារម្មណ៍។,Negative,0
218,ការទិញនៅលើគេហទំព័រមិនងាយស្រួល។,Negative,0
219,ការសម្តែងរបស់តារាសម្តែងគួរឱ្យសរសើរ។,Positive,1
220,ភាពយន្តនេះធុញទ្រាន់។,Negative,0
221,បរិយាកាសនៅហាងនេះល្អឥតខ្ចោះ។,Positive,1
222,ខ្ញុំមិនពេញចិត្តជាមួយបទចម្រៀងនេះ។,Negative,0
223,ការចាក់សម្លេងមានគុណភាពខ្ពស់។,Positive,1
224,ខ្ញុំមិនបានទទួលទំនិញតាមពេលកំណត់។,Negative,0
225,ខ្ញុំមានបទពិសោធន៍អាក្រក់ជាមួយសេវាកម្មនេះ។,Negative,0
226,ការសម្តែងរបស់តារាសម្តែងគួរឱ្យសរសើរ។,Positive,1
227,បទថ្មីនេះមានទាស់។,Positive,1
228,ខ្ញុំចូលចិត្តម៉ាកនេះជាពិសេស។,Positive,1
229,ការសម្តែងនៅលើឆាកធុញទ្រាន់។,Negative,0
230,ភាពយន្តនេះធុញទ្រាន់។,Negative,0
231,សេវាកម្មនេះធ្វើឱ្យខ្ញុំមានអារម្មណ៍ពេញចិត្ត។,Positive,1
232,ខ្ញុំពិតជាផ្អែមល្ហែមជាមួយបទចម្រៀងថ្មីនេះ។,Positive,1
233,ខ្ញុំចូលចិត្តម៉ាកនេះជាពិសេស។,Positive,1
234,ភាពយន្តនេះធុញទ្រាន់។,Negative,0
235,គុណភាពទំនិញល្អណាស់។,Positive,1
236,ផលិតផលនេះគុណភាពល្អណាស់។,Positive,1
237,ផលិតផលនេះគុណភាពទាប។,Negative,0
238,ការបម្រើអតិថិជនយឺតខ្លាំង។,Negative,0
239,ការទិញនៅលើគេហទំព័រមិនងាយស្រួល។,Negative,0
240,រឿងថ្មីនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative,0
241,ផលិតផលនេះគុណភាពទាប។,Negative,0
242,ការចាក់សម្លេងមានគុណភាពខ្ពស់។,Positive,1
243,បទចម្រៀងនេះឆ្លៀតចិត្ត។,Positive,1
244,ខ្ញុំពិតជាផ្អែមល្ហែមជាមួយបទចម្រៀងថ្មីនេះ។,Positive,1
245,បទចម្រៀងនេះមិនល្អ។,Negative,0
246,ខ្ញុំមានបទពិសោធន៍អាក្រក់ជាមួយសេវាកម្មនេះ។,Negative,0
247,ខ្ញុំបានទទួលទំនិញយ៉ាងឆាប់រហ័ស។,Positive,1
248,ការទិញនៅលើគេហទំព័រយ៉ាងងាយស្រួល។,Positive,1
249,ការសម្តែងនៅលើឆាកមិនអាចទាញយកភ្នែកចេញបាន។,Positive,1
250,ខ្ញុំមិនបានទទួលទំនិញតាមពេលកំណត់។,Negative,0
251,រឿងថ្មីនេះល្អឥតខ្ចោះ។,Positive,1
252,បទថ្មីនេះមានទាស់។,Positive,1
253,ការសម្តែងនៅលើឆាកមិនអាចទាញយកភ្នែកចេញបាន។,Positive,1
254,សេវាកម្មនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative,0
255,ការចាក់សម្លេងមានគុណភាពខ្ពស់។,Positive,1
256,បទចម្រៀងនេះឆ្លៀតចិត្ត។,Positive,1
257,ការដឹកជញ្ជូនលឿនល្អឥតខ្ចោះ។,Positive,1
258,ការសម្តែងរបស់តារាសម្តែងគួរឱ្យសរសើរ។,Positive,1
259,ការសម្តែងរបស់តារាសម្តែងគ្មានគុណភាព។,Negative,0
260,ការបម្រើអតិថិជននៅទីនេះគឺល្អឥតខ្ចោះ។,Positive,1
261,បទចម្រៀងនេះប៉ះដល់ចិត្តយ៉ាងខ្លាំង។,Positive,1
262,បទថ្មីនេះមិនទាក់ចិត្ត។,Negative,0
263,ការបម្រើអតិថិជនយឺតខ្លាំង។,Negative,0
264,ម៉ាកនេះមិនគួរជឿទុកចិត្ត។,Negative,0
