ID ,Text,Sentiment_text,Sentiment_label
265,បទចម្រៀងនេះឆ្លៀតចិត្ត។,Positive,1
266,ខ្ញុំមានបទពិសោធន៍អាក្រក់ជាមួយសេវាកម្មនេះ។,Negative,0
267,ការសម្តែងនៅលើឆាកមិនអាចទាញយកភ្នែកចេញបាន។,Positive,1
268,ខ្ញុំមានបទពិសោធន៍ល្អជាមួយសេវាកម្មនេះ។,Positive,1
269,ភាពយន្តនេះធុញទ្រាន់។,Negative,0
270,ខ្ញុំចូលចិត្តម៉ាកនេះជាពិសេស។,Positive,1
271,បទថ្មីនេះមានទាស់។,Positive,1
272,បទចម្រៀងនេះឆ្លៀតចិត្ត។,Positive,1
273,ការសម្តែងរបស់តារាសម្តែងគ្មានគុណភាព។,Negative,0
274,សេវាកម្មមិនទាន់បំពេញតាមចិត្តទេ។,Negative,0
275,រឿងថ្មីនេះល្អឥតខ្ចោះ។,Positive,1
276,នំប៉័ងនេះមានរសជាតិឆ្ងាញ់ណាស់ ស្រស់ៗ និងមានក្លិនឈ្ងុយ,Positive,1
277,សេវាកម្មនៅហាងនេះគួរឱ្យខកចិត្តណាស់ បុគ្គលិកមិនសូវយកចិត្តទុកដាក់,Negative,0
278,ខ្សែភាពយន្តថ្មីនេះធ្វើបានល្អណាស់ តួសម្ដែងពូកែៗ រឿងរ៉ាវគួរឱ្យចាប់អារម្មណ៍,Positive,1
279,តម្លៃទំនិញថ្លៃពេក មិនសមនឹងគុណភាពទេ,Negative,0
281,កម្មវិធីតន្ត្រីមិនសូវពិរោះ អ្នកចម្រៀងច្រៀងមិនចំណង្វាក់,Negative,0
282,ទូរស័ព្ទថ្មីនេះប្រើប្រាស់ងាយស្រួល ថ្មល្អ កាមេរ៉ាច្បាស់,Positive,1
285,សម្លៀកបំពាក់គុណភាពអន់ ថ្លៃហើយរែកលុយមួយខែ,Negative,0
286,ជាងកាត់សក់មានជំនាញខ្ពស់ កាត់បានស្អាតត្រូវចិត្ត,Positive,1
287,តន្ត្រីកម្សាន្តនៅក្លឹបនេះពិរោះណាស់ បទចម្រៀងទាន់សម័យ,Positive,1
288,កាបូបថ្មីនេះគុណភាពល្អណាស់ ធន់ហើយស្អាត,Positive,1
289,សេវាកម្មអតិថិជនមិនល្អ រង់ចាំយូរពេក,Negative,0
290,កម្មវិធីទូរទស្សន៍នេះគួរឱ្យចាប់អារម្មណ៍ណាស់ មានការច្នៃប្រឌិតខ្ពស់,Positive,1
291,ស្មាតហ្វូននេះថ្មបានរយៈពេលខ្លីណាស់ មិនសមនឹងតម្លៃ,Negative,0
293,ភាពយន្តនេះធ្វើឱ្យខ្ញុំអស់សំណើច សម្តែងបានល្អណាស់,Positive,1
294,ទូរទស្សន៍ថ្មីនេះមានបញ្ហាច្រើន ត្រូវជួសជុលច្រើនដង,Negative,0
295,សេវាកម្មស្ប៉ាល្អណាស់ បុគ្គលិកមានជំនាញខ្ពស់,Positive,1
297,គុណភាពសម្លៀកបំពាក់ល្អណាស់ តម្លៃសមរម្យ,Positive,1
298,បុគ្គលិកធនាគារមិនសូវរួសរាយ ធ្វើការយឺតយ៉ាវ,Negative,0
299,កម្មវិធីប្រគំតន្ត្រីមិនសូវល្អ អ្នកចម្រៀងច្រៀងពាក់អត់សូវពិរោះ,Negative,0
300,ទូរស័ព្ទនេះមានមុខងារច្រើន ប្រើប្រាស់ងាយស្រួល,Positive,1
302,រឿងភាគថ្មីនេះគួរឱ្យចាប់អារម្មណ៍ តួឯកសម្តែងពូកែ,Positive,1
303,កាមេរ៉ាថ្មីនេះថតរូបមិនសូវច្បាស់ ប្រើការមិនបានយូរ,Negative,0
304,សេវាកម្មជួសជុលល្អណាស់ ជាងមានជំនាញ,Positive,1
305,ភាពយន្តនេះធ្វើឱ្យខ្ញុំខកចិត្តណាស់ ចំណាយពេលមើលឥតប្រយោជន៍,Negative,0
306,ទូរទស្សន៍នេះមានគុណភាពល្អ រូបភាពច្បាស់,Positive,1
307,សណ្ឋាគារនេះមានសេវាកម្មល្អណាស់ បុគ្គលិកមានវិជ្ជាជីវៈខ្ពស់,Positive,1
308,កម្មវិធីសិល្បៈនេះគួរឱ្យចាប់អារម្មណ៍ មានការច្នៃប្រឌិតថ្មី,Positive,1
309,គុណភាពឈុតការងារមិនល្អ កាត់ដេរមិនស្អាត,Negative,0
311,ការសម្តែងរបស់តារាចម្រៀងនេះអស្ចារ្យណាស់ សំឡេងពីរោះ,Positive,1
312,ទូរស័ព្ទនេះលេងហ្គេមរអិល ប្រព័ន្ធដំណើរការយឺត,Negative,0
313,សេវាកម្មហាងកាត់សក់ល្អណាស់ តម្លៃសមរម្យ,Positive,1
315,ម៉ាស៊ីនត្រជាក់នេះត្រជាក់ល្អណាស់ សន្សំសំចៃថាមពល,Positive,1
316,សេវាកម្មអ៊ីនធឺណិតដំណើរការមិនល្អ ភ្ជាប់ដាច់ៗ,Negative,0
317,កម្មវិធីរាំនេះរីករាយណាស់ អ្នកចូលរួមសប្បាយ,Positive,1
318,កង់ថ្មីនេះប្រើការបានល្អណាស់ តម្លៃសមរម្យ,Positive,1
319,សេវាកម្មជួសជុលយឺតយ៉ាវ តម្លៃថ្លៃពេក,Negative,0
320,ការសម្តែងរបាំប្រពៃណីនេះល្អណាស់ សិល្បៈករមានទេពកោសល្យ,Positive,1
321,កុំព្យូទ័រនេះដំណើរការយឺត មិនស័ក្តិសមនឹងតម្លៃ,Negative,0
322,សេវាកម្មបោកគក់ល្អណាស់ ខោអាវស្អាត,Positive,1
323,តន្ត្រីនៅក្លឹបនេះឮខ្លាំងពេក មិនអាចជជែកគ្នាបាន,Negative,0
324,ទូរទឹកកកនេះត្រជាក់ល្អ ប្រើថាមពលតិច,Positive,1
326,ព្រឹត្តិការណ៍កីឡានេះគួរឱ្យរំភើប កីឡាករលេងពូកែ,Positive,1
327,វិទ្យុនេះស្តាប់មិនសូវច្បាស់ មានសំឡេងរំខាន,Negative,0
328,សេវាកម្មធានារ៉ាប់រងល្អណាស់ មានភាពងាយស្រួល,Positive,1
329,កម្មវិធីសម្តែងសៀកនេះអស្ចារ្យណាស់ សិល្បៈករសម្តែងបានល្អ,Positive,1
330,ម៉ូតូថ្មីនេះប្រើប្រេងច្រើន ថែទាំពិបាក,Negative,0
332,ការប្រកួតបាល់ទាត់នេះគួរឱ្យរំភើប ក្រុមទាំងពីរលេងល្អ,Positive,1
333,ម៉ាស៊ីនបោកគក់នេះសំឡេងខ្លាំង ប្រើអគ្គិសនីច្រើន,Negative,0
334,សេវាកម្មជួលរថយន្តល្អណាស់ ឡានថ្មី ស្អាត,Positive,1
335,ការសម្តែងល្ខោននេះគួរឱ្យធុញ រឿងវែងពេក,Negative,0
336,កៅអីការិយាល័យនេះផាសុខណាស់ គុណភាពល្អ,Positive,1
338,ការសម្តែងសៀកនេះល្អណាស់ មានការច្នៃប្រឌិតថ្មី,Positive,1
339,ទូរស័ព្ទនេះថតរូបស្អាត ប្រើប្រាស់ងាយស្រួល,Positive,1
340,សេវាកម្មដឹកជញ្ជូនយឺតយ៉ាវ ទំនិញខូចខាត,Negative,0
341,ភាពយន្តឯកសារនេះផ្តល់ចំណេះដឹងល្អ,Positive,1
342,កាបូបស្បែកនេះដេរមិនស្អាត ប្រេះបែកលឿន,Negative,0
343,សេវាកម្មសម្អាតផ្ទះល្អណាស់ បុគ្គលិកខិតខំធ្វើការ,Positive,1
344,កម្មវិធីចម្រៀងនេះមិនសូវទាក់ទាញ បទចាស់ៗច្រើន,Negative,0
345,ម៉ាស៊ីនត្រជាក់នេះមិនសូវត្រជាក់ ប្រើអគ្គិសនីច្រើន,Negative,0
346,សេវាកម្មអ៊ីនធឺណិតល្បឿនលឿន តម្លៃសមរម្យ,Positive,1
347,ផលិតផលថ្មីនេះប្រើប្រាស់បានល្អណាស់ អស្ចារ្យមែនទែន,Positive,1
348,ភោជនីយដ្ឋាននេះមិនសូវស្អាត ម្ហូបក៏មិនឆ្ងាញ់ដែរ,Negative,0
349,សម្តែងបទចម្រៀងបានពីរោះណាស់ ពិតជាមានទេពកោសល្យ,Positive,1
350,សម្ភារៈការិយាល័យទាំងនេះគុណភាពអន់ណាស់ ខូចលឿន,Negative,0
352,កម្មវិធីសិល្បៈនេះមិនសូវទាក់ទាញ អ្នកសម្តែងនៅខ្វះបទពិសោធន៍,Negative,0
353,ម៉ូតូម៉ាកថ្មីនេះបើកស្រួល សន្សំសំចៃប្រេងសាំង,Positive,1
354,អ្នកបើកតាក់ស៊ីនេះមានអធ្យាស្រ័យល្អ និយាយស្តីសមរម្យ,Positive,1
355,រោងកុននេះកៅអីស្រួលអង្គុយ ម៉ាស៊ីនបញ្ចាំងល្អ,Positive,1
356,ទូរស័ព្ទស្មាតហ្វូននេះឆាប់ហោះថ្ម មិនសមនឹងតម្លៃ,Negative,0
357,សេវាកម្មសម្អាតការិយាល័យមិនទៀងទាត់ ធ្វើការមិនម៉ត់ចត់,Negative,0
358,កម្មវិធីប្រគំតន្ត្រីនេះរៀបចំបានល្អ អ្នកចូលរួមច្រើន,Positive,1
359,ទូរទស្សន៍ស្មាតធីវីនេះងាយស្រួលប្រើ រូបភាពច្បាស់ស្អាត,Positive,1
360,ហាងកាត់សក់នេះកាត់មិនស្អាត តម្លៃថ្លៃទៀត,Negative,0
361,ភាពយន្តរឿងនេះមានខ្លឹមសារល្អ បង្រៀនមេរៀនជីវិត,Positive,1
364,កម្មវិធីរាំកម្សាន្តនេះសប្បាយណាស់ តន្ត្រីពិរោះ,Positive,1
365,ម៉ាស៊ីនត្រជាក់នេះមិនសូវត្រជាក់ ប្រើអគ្គិសនីច្រើន,Negative,0
366,គ្លីនិកធ្មេញនេះមានពេទ្យជំនាញ តម្លៃសមរម្យ,Positive,1
367,ការប្រកួតបាល់ទាត់នេះគួរឱ្យរំភើប ក្រុមទាំងពីរលេងល្អ,Positive,1
368,កង់អគ្គិសនីនេះបើកលឿន ថ្មប្រើបានយូរ,Positive,1
369,សេវាកម្មជួសជុលផ្ទះមិនល្អ ជាងធ្វើការមិនស្អាត,Negative,0
371,ទូទឹកកកនេះត្រជាក់ល្អ សន្សំសំចៃថាមពល,Positive,1
372,សេវាកម្មក្រុមហ៊ុនដឹកជញ្ជូនយឺតយ៉ាវ ទំនិញខូចខាត,Negative,0
373,ការសម្តែងរបាំប្រពៃណីនេះស្រស់ស្អាត មានអត្ថន័យ,Positive,1
374,ម៉ាស៊ីនបោកខោអាវនេះសំអាតស្អាត មិនខូចខាតសម្លៀកបំពាក់,Positive,1
375,អ្នកថែសួនច្បារមិនសូវយកចិត្តទុកដាក់ ដើមឈើងាប់ច្រើន,Negative,0
376,លោ្ខននេះសម្តែងមិនសូវពូកែ អត់មានអារម្មណ៍,Negative,0
377,កុំព្យូទ័រនេះដំណើរការលឿន អេក្រង់ច្បាស់ល្អ,Positive,1
378,សេវាកម្មសណ្ឋាគារល្អណាស់ បុគ្គលិកមានវិជ្ជាជីវៈ,Positive,1
379,ការប្រកួតចម្រៀងនេះមិនយុត្តិធម៌ លម្អៀង,Negative,0
380,ស្បែកជើងកីឡានេះស្រួលពាក់ ថ្លៃតែសមតម្លៃ,Positive,1
381,សេវាកម្មអ៊ីនធឺណេតដំណើរការមិនល្អ ដាច់ញឹកញាប់,Negative,0
382,កម្មវិធីទូរទស្សន៍នេះមានខ្លឹមសារល្អ ពិសេសណាស់,Positive,1
383,ក្រដាសបោះពុម្ពនេះគុណភាពល្អ ពណ៌ស្អាត,Positive,1
384,សេវាកម្មជួសជុលម៉ូតូមានជំនាញ តម្លៃសមរម្យ,Positive,1
385,ភាពយន្តភាគនេះមានរឿងរ៉ាវគួរឱ្យចាប់អារម្មណ៍,Positive,1
387,សេវាកម្មធនាគារមានភាពយឺតយ៉ាវ រង់ចាំយូរ,Negative,0
388,កម្មវិធីសម្តែងសិល្បៈនេះមានការច្នៃប្រឌិតខ្ពស់,Positive,1
389,ឧបករណ៍អេឡិចត្រូនិកនេះប្រើការបានល្អ មានមុខងារច្រើន,Positive,1
390,សេវាកម្មថែទាំសម្ផស្សមិនល្អ បុគ្គលិកមិនមានជំនាញ,Negative,0
391,ការសម្តែងភ្លេងប្រពៃណីនេះពិរោះ រក្សាបាននូវវប្បធម៌,Positive,1
392,ទូរស័ព្ទនេះថតរូបមិនច្បាស់ អត់មានមុខងារទំនើបៗ,Negative,0
393,សេវាកម្មបោកគក់ល្អណាស់ សម្លៀកបំពាក់ស្អាត,Positive,1
394,កម្មវិធីរាំកម្សាន្តនេះមិនសូវសប្បាយ អ្នកចូលរួមតិច,Negative,0
395,គ្រឿងសង្ហារឹមនេះគុណភាពល្អ ប្រើប្រាស់បានយូរ,Positive,1
396,សេវាកម្មជួលរថយន្តមិនទុកចិត្ត រថយន្តចាស់ៗ,Negative,0
397,ការសម្តែងល្ខោននេះមានអត្ថន័យជ្រាលជ្រៅ សិល្បករសម្ដែងពូកែ,Positive,1
398,កាមេរ៉ាឌីជីថលនេះថតរូបបានស្អាតណាស់ ពណ៌ធម្មជាតិ,Positive,1
399,សេវាកម្មបញ្ជាទិញអនឡាញមានបញ្ហាច្រើន ប្រព័ន្ធដំណើរការមិនល្អ,Negative,0
400,ការសម្តែងរបស់តារាចម្រៀងម្នាក់នេះគួរឱ្យចាប់អារម្មណ៍ខ្លាំង,Positive,1
401,កង់ថ្មីនេះមិនស្រួលជិះ ហ្វ្រាំងមិនសូវល្អ,Negative,0
402,សេវាកម្មម្ហូបដល់ផ្ទះរហ័សទាន់ចិត្ត ម្ហូបក៏នៅក្តៅ,Positive,1
403,កម្មវិធីសិល្បៈវប្បធម៌នេះរៀបចំមិនបានល្អ,Negative,0
404,ទូរទស្សន៍ស្មាតធីវីនេះមានមុខងារទំនើបៗ គុណភាពខ្ពស់,Positive,1
405,គ្លីនិកធ្មេញនេះពេទ្យពិនិត្យមិនល្អិតល្អន់ តម្លៃថ្លៃពេក,Negative,0
406,ភាពយន្តភាគថ្មីនេះមានរឿងរ៉ាវគួរឱ្យចាប់អារម្មណ៍ខ្លាំង,Positive,1
407,ឧបករណ៍បាញ់ថ្នាំសម្លាប់សត្វល្អិតនេះប្រើការមិនបានល្អ,Negative,0
408,សេវាកម្មសណ្ឋាគារនេះល្អឥតខ្ចោះ បុគ្គលិកមានវិជ្ជាជីវៈខ្ពស់,Positive,1
409,កម្មវិធីប្រកួតកីឡានេះរៀបចំបានល្អណាស់,Positive,1
410,ម៉ាស៊ីនកិនស្រូវនេះធ្វើការលឿន គុណភាពល្អ,Positive,1
411,អ្នកដឹកជញ្ជូនឥវ៉ាន់មកយឺតពេល ហើយទំនិញខូចខាតទៀត,Negative,0
413,កៅអីការិយាល័យថ្មីនេះអង្គុយស្រួល ធ្វើពីឈើល្អ,Positive,1
414,សេវាកម្មជួសជុលទូរទស្សន៍នេះថ្លៃពេក ហើយជួសយូរទៀត,Negative,0
415,ការសម្តែងរបាំប្រពៃណីនេះធ្វើឱ្យយើងនឹកឃើញដល់អតីតកាល,Positive,1
416,ស្បែកជើងកីឡាថ្មីនេះពាក់ស្រួល ធន់ទៀតផង,Positive,1
418,ភាពយន្តរឿងនេះមើលទៅធុញ គ្មានរសជាតិ,Negative,0
419,ម៉ាស៊ីនបោកខោអាវនេះសំអាតស្អាត ប្រើថាមពលតិច,Positive,1
420,បុគ្គលិកធនាគារនេះនិយាយស្តីមិនសមរម្យ គ្មានវិជ្ជាជីវៈ,Negative,0
421,កម្មវិធីសម្តែងសៀកនេះគួរឱ្យទាក់ទាញ,Positive,1
422,ទូរស័ព្ទស្មាតហ្វូននេះថតរូបច្បាស់ល្អ ប្រើប្រាស់ងាយស្រួល,Positive,1
423,សេវាកម្មបង់វិក្កយបត្រមានភាពស្មុគស្មាញ ចំណាយពេលច្រើន,Negative,0
424,ការប្រកួតបាល់ទាត់នេះគួរឱ្យរំភើប កីឡាករលេងល្អ,Positive,1
425,ទូទឹកកកនេះប្រើថាមពលច្រើន តម្លៃមិនសមរម្យ,Negative,0
426,សេវាកម្មអ៊ីនធឺណិតល្បឿនលឿន តម្លៃសមរម្យ,Positive,1
427,ការសម្តែងល្ខោននេះគួរឱ្យចាប់អារម្មណ៍ សិល្បករសម្ដែងបានល្អ,Positive,1
428,កង់អគ្គិសនីនេះមានបញ្ហាច្រើន ជួសញឹកញាប់,Negative,0
429,សេវាកម្មជួសជុលទូទឹកកកនេះល្អណាស់ ជាងមានជំនាញ,Positive,1
430,ព្រឹត្តិការណ៍តន្ត្រីនេះមានការរៀបចំល្អ អ្នកចូលរួមច្រើន,Positive,1
431,គ្រឿងសង្ហារឹមនេះគុណភាពអន់ ងាយខូច,Negative,0
432,សេវាកម្មសម្អាតការិយាល័យមិនទៀងទាត់ ធ្វើការមិនស្អាត,Negative,0
433,កម្មវិធីប្រគំតន្ត្រីនេះមានការរៀបចំល្អ តន្ត្រីពិរោះ,Positive,1
434,ម៉ាស៊ីនកិនកាហ្វេនេះមានសំលេងរំខាន ប្រើការមិនបានយូរ,Negative,0
435,សេវាកម្មថែទាំសួនច្បារល្អណាស់ មើលទៅស្រស់ស្អាត,Positive,1
436,ការសម្តែងរបស់ក្រុមសិល្បៈនេះមានជំនាញខ្ពស់,Positive,1
437,ម៉ូតូថ្មីនេះបើកស្រួល សន្សំប្រេង តម្លៃសមរម្យ,Positive,1
438,សេវាកម្មជួលរថយន្តមិនល្អ រថយន្តចាស់ៗ សេវាកម្មយឺត,Negative,0
440,កាបូបថ្មីនេះមានគុណភាពល្អ ដេរយ៉ាងជាប់,Positive,1
441,សេវាកម្មម៉ាស្សាមិនល្អ អ្នកម៉ាស្សាគ្មានជំនាញ,Negative,0
442,ការសម្តែងរបាំនេះមានលក្ខណៈវិជ្ជាជីវៈខ្ពស់,Positive,1
443,ឧបករណ៍ភ្លេងថ្មីនេះមានគុណភាពល្អ សំឡេងពិរោះ,Positive,1
444,សេវាកម្មជួសជុលផ្ទះមានតម្លៃសមរម្យ ធ្វើការបានល្អ,Positive,1
445,កម្មវិធីប្រកួតចម្រៀងនេះមានលក្ខណៈវិជ្ជាជីវៈ,Positive,1
446,ទូរស័ព្ទថ្មីនេះមានបញ្ហាច្រើន ប្រើការមិនបានល្អ,Negative,0
447,សេវាកម្មបោកគក់នេះធ្វើឱ្យខូចសម្លៀកបំពាក់,Negative,0
448,ការសម្តែងសិល្បៈនេះមានការច្នៃប្រឌិតថ្មី,Positive,1
449,ផលិតផលនេះគឺល្អជាមួយគុណភាពខ្ពស់,Positive,1
450,សេវាកម្មមិនបានបំពេញចិត្តខ្ញុំ,Negative,0
451,ភាពយន្តនេះមានកម្រិតកម្សាន្តខ្ពស់,Positive,1
452,ផលិតផលមិនទាន់គុណភាព,Negative,0
453,សេវាកម្មលឿន និងទំនាក់ទំនងល្អ,Positive,1
454,ការសម្តែងក្នុងភាពយន្តធម្មតាប៉ុណ្ណោះ,Negative,0
455,ផលិតផលនេះគ្មានតម្លៃដូចមុន,Positive,1
456,សេវាកម្មនៅឯកន្លែងនេះល្អណាស់,Positive,1
457,ការបរិភោគតាមកន្លែងកម្សាន្តនេះអស្ចារ្យ,Negative,0
458,ផលិតផលដែលគេនិយាយអត់ត្រឹមត្រូវ,Positive,1
459,ផលិតផលនេះគឺល្អជាមួយគុណភាពខ្ពស់,Negative,0
460,សេវាកម្មមិនបានបំពេញចិត្តខ្ញុំ,Positive,1
461,ភាពយន្តនេះមានកម្រិតកម្សាន្តខ្ពស់,Negative,0
462,ផលិតផលមិនទាន់គុណភាព,Positive,1
463,សេវាកម្មលឿន និងទំនាក់ទំនងល្អ,Negative,0
464,ការសម្តែងក្នុងភាពយន្តធម្មតាប៉ុណ្ណោះ,Positive,1
465,ផលិតផលនេះគ្មានតម្លៃដូចមុន,Positive,1
466,សេវាកម្មនៅឯកន្លែងនេះល្អណាស់,Negative,0
467,ការបរិភោគតាមកន្លែងកម្សាន្តនេះអស្ចារ្យ,Positive,1
468,ផលិតផលដែលគេនិយាយអត់ត្រឹមត្រូវ,Negative,0
469,ផលិតផលនេះគឺល្អជាមួយគុណភាពខ្ពស់,Positive,1
470,សេវាកម្មមិនបានបំពេញចិត្តខ្ញុំ,Negative,0
471,ភាពយន្តនេះមានកម្រិតកម្សាន្តខ្ពស់,Positive,1
472,ផលិតផលមិនទាន់គុណភាព,Negative,0
473,សេវាកម្មលឿន និងទំនាក់ទំនងល្អ,Positive,1
474,ការសម្តែងក្នុងភាពយន្តធម្មតាប៉ុណ្ណោះ,Positive,1
475,ផលិតផលនេះគ្មានតម្លៃដូចមុន,Negative,0
476,សេវាកម្មនៅឯកន្លែងនេះល្អណាស់,Positive,1
477,ការបរិភោគតាមកន្លែងកម្សាន្តនេះអស្ចារ្យ,Negative,0
478,ផលិតផលដែលគេនិយាយអត់ត្រឹមត្រូវ,Positive,1
479,ផលិតផលនេះគឺល្អជាមួយគុណភាពខ្ពស់,Negative,0
480,សេវាកម្មមិនបានបំពេញចិត្តខ្ញុំ,Positive,1
481,ភាពយន្តនេះមានកម្រិតកម្សាន្តខ្ពស់,Negative,0
482,ផលិតផលមិនទាន់គុណភាព,Positive,1
483,សេវាកម្មលឿន និងទំនាក់ទំនងល្អ,Positive,1
484,ការសម្តែងក្នុងភាពយន្តធម្មតាប៉ុណ្ណោះ,Negative,0
485,ផលិតផលនេះគ្មានតម្លៃដូចមុន,Positive,1
486,សេវាកម្មនៅឯកន្លែងនេះល្អណាស់,Negative,0
487,ការបរិភោគតាមកន្លែងកម្សាន្តនេះអស្ចារ្យ,Positive,1
488,ផលិតផលដែលគេនិយាយអត់ត្រឹមត្រូវ,Negative,0
489,ផលិតផលនេះគឺល្អជាមួយគុណភាពខ្ពស់,Positive,1
490,សេវាកម្មមិនបានបំពេញចិត្តខ្ញុំ,Negative,0
491,ភាពយន្តនេះមានកម្រិតកម្សាន្តខ្ពស់,Positive,1
492,ផលិតផលមិនទាន់គុណភាព,Positive,1
493,សេវាកម្មលឿន និងទំនាក់ទំនងល្អ,Negative,0
494,ការសម្តែងក្នុងភាពយន្តធម្មតាប៉ុណ្ណោះ,Positive,1
495,ផលិតផលនេះគ្មានតម្លៃដូចមុន,Negative,0
496,សេវាកម្មនៅឯកន្លែងនេះល្អណាស់,Positive,1
497,ការបរិភោគតាមកន្លែងកម្សាន្តនេះអស្ចារ្យ,Negative,0
498,ផលិតផលដែលគេនិយាយអត់ត្រឹមត្រូវ,Positive,1
499,ផលិតផលនេះគឺល្អជាមួយគុណភាពខ្ពស់,Negative,0
500,សេវាកម្មមិនបានបំពេញចិត្តខ្ញុំ,Positive,1
501,ភាពយន្តនេះមានកម្រិតកម្សាន្តខ្ពស់,Positive,1
502,ផលិតផលមិនទាន់គុណភាព,Negative,0
503,សេវាកម្មលឿន និងទំនាក់ទំនងល្អ,Positive,1
504,ការសម្តែងក្នុងភាពយន្តធម្មតាប៉ុណ្ណោះ,Negative,0
505,ផលិតផលនេះគ្មានតម្លៃដូចមុន,Positive,1
